회사명,거래소코드,회계년도,순운전자본비율,유보율,총자본영업이익률,부채비율,총자본회전률
(주)BNK금융지주,138930,2011/12,,,,,
(주)BNK금융지주,138930,2012/12,,,,,
(주)BNK금융지주,138930,2013/12,,,,,
(주)BNK금융지주,138930,2014/12,,,,,
(주)BNK금융지주,138930,2015/12,,,,,
(주)BNK금융지주,138930,2016/12,,,,,
(주)CMG제약,058820,2010/12,32.41,-16.75,-31.74,40.78,0.48
(주)CMG제약,058820,2011/12,27.75,-16.28,2.7,50.61,0.69
(주)CMG제약,058820,2012/12,70.91,-4.27,-9.57,80.33,0.38
(주)CMG제약,058820,2013/12,58.54,13.24,1.46,14.1,0.36
(주)CMG제약,058820,2014/12,33.8,13.28,0.78,18.46,0.4
(주)CMG제약,058820,2015/12,30.9,6.17,-4.48,20.74,0.47
(주)CMG제약,058820,2016/12,62.75,86.02,2.07,9.76,0.39
(주)DB하이텍,000990,2010/12,13.01,145.94,-14.72,217.19,0.31
(주)DB하이텍,000990,2011/12,-44.83,73.37,-2.77,305.87,0.42
(주)DB하이텍,000990,2012/12,-22.63,59.48,-1.24,318.52,0.5
(주)DB하이텍,000990,2013/12,-24.24,24.76,-0.85,431.96,0.45
(주)DB하이텍,000990,2014/12,-12.96,-3.23,4.42,636.17,0.55
(주)DB하이텍,000990,2015/12,9.14,35.37,12.39,262.19,0.66
(주)DB하이텍,000990,2016/12,9.16,74.37,17.08,176.13,0.77
(주)ES큐브,050120,2010/12,45.32,261.47,1.49,13.05,0.73
(주)ES큐브,050120,2011/12,30.83,236.81,-4.49,15.56,0.9
(주)ES큐브,050120,2012/12,27.76,240.97,1.44,12.02,0.98
(주)ES큐브,050120,2013/12,62.78,139.57,0.47,8.69,0.99
(주)ES큐브,050120,2014/12,41.02,125.94,0.71,8.95,0.8
(주)ES큐브,050120,2015/12,44.14,145.92,5.15,5.02,0.8
(주)ES큐브,050120,2016/12,37.16,235.56,3.11,49.59,0.46
(주)HJ중공업,097230,2010/12,3.48,744.94,3.06,211.25,0.42
(주)HJ중공업,097230,2011/12,6.54,677.12,0.63,212.4,0.38
(주)HJ중공업,097230,2012/12,4.96,672.42,0.48,218.65,0.34
(주)HJ중공업,097230,2013/12,-9.26,421.31,-1.85,223.6,0.33
(주)HJ중공업,097230,2014/12,-6.31,244.77,-1.88,210.45,0.32
(주)HJ중공업,097230,2015/12,-20.17,169.62,-1.94,236.72,0.4
(주)HJ중공업,097230,2016/12,2.82,70.78,1.15,333.73,0.45
(주)JB금융지주,175330,2013/12,,,,,
(주)JB금융지주,175330,2014/12,,,,,
(주)JB금융지주,175330,2015/12,,,,,
(주)JB금융지주,175330,2016/12,,,,,
(주)KB금융지주,105560,2010/12,,,,,
(주)KB금융지주,105560,2011/12,,,,,
(주)KB금융지주,105560,2012/12,,,,,
(주)KB금융지주,105560,2013/12,,,,,
(주)KB금융지주,105560,2014/12,,,,,
(주)KB금융지주,105560,2015/12,,,,,
(주)KB금융지주,105560,2016/12,,,,,
(주)MH에탄올,023150,2010/12,-24.26,865.85,6.47,169.15,0.38
(주)MH에탄올,023150,2011/12,-29.6,1174.22,5.51,142.03,0.34
(주)MH에탄올,023150,2012/12,-31.83,1232.11,4.74,137.09,0.33
(주)MH에탄올,023150,2013/12,-34.26,969.09,7.37,160.02,0.35
(주)MH에탄올,023150,2014/12,-4.22,1042.28,8.42,62.36,0.47
(주)MH에탄올,023150,2015/12,1.55,1171.85,13.53,36.69,0.61
(주)MH에탄올,023150,2016/12,15.71,1307.46,15.76,13.86,0.65
(주)SH에너지화학,002360,2010/12,14.58,15.02,3.61,42.68,1.58
(주)SH에너지화학,002360,2011/12,14.45,17.07,4.56,58.74,1.79
(주)SH에너지화학,002360,2012/12,19.55,17.77,2.81,57.95,1.87
(주)SH에너지화학,002360,2013/12,20.77,26.55,6.78,57.61,2.16
(주)SH에너지화학,002360,2014/12,32.14,50.98,18.51,30.81,2.07
(주)SH에너지화학,002360,2015/12,41.16,64.15,20.52,25.69,1.92
(주)SH에너지화학,002360,2016/12,54.8,86.29,19.92,19.28,1.81
(주)SIMPAC,009160,2010/12,8.81,804.75,11.01,90.06,0.85
(주)SIMPAC,009160,2011/12,11.55,985.06,10.64,90.56,0.79
(주)SIMPAC,009160,2012/12,13.86,1136.32,8.38,72.84,0.74
(주)SIMPAC,009160,2013/12,-7.77,1274.34,7.22,76.77,0.62
(주)SIMPAC,009160,2014/12,0.59,1315.62,5.52,61.51,0.67
(주)SIMPAC,009160,2015/12,-1.32,1426.56,6.76,67.82,0.61
(주)SIMPAC,009160,2016/12,2.01,1506.98,5.82,59.96,0.59
(주)SNT에너지,100840,2010/12,22.85,4947.61,2.9,51.48,0.78
(주)SNT에너지,100840,2011/12,17.89,4775.29,-2.54,72.18,0.74
(주)SNT에너지,100840,2012/12,24.94,5074.77,5.32,59.73,0.81
(주)SNT에너지,100840,2013/12,28.66,5494.23,5.56,57.28,0.66
(주)SNT에너지,100840,2014/12,30.83,5763.77,4.47,46.6,0.79
(주)SNT에너지,100840,2015/12,37.88,6432.47,10.93,36.64,0.84
(주)SNT에너지,100840,2016/12,31.49,6387.29,0.36,51.45,0.77
(주)SNT홀딩스,036530,2010/12,7.47,5025.23,7.65,8.79,0.08
(주)SNT홀딩스,036530,2011/12,16.61,4996.84,0.16,0.07,0.01
(주)SNT홀딩스,036530,2012/12,10.43,5037.75,1.72,0.09,0.02
(주)SNT홀딩스,036530,2013/12,12.31,5079.67,1.76,0.12,0.02
(주)SNT홀딩스,036530,2014/12,11.73,5113.29,1.5,0.1,0.02
(주)SNT홀딩스,036530,2015/12,21.22,5258.33,1.62,2.05,0.02
(주)SNT홀딩스,036530,2016/12,22.75,5165.66,1.87,0.07,0.02
(주)STX,011810,2010/12,-5.31,618.78,3.16,223.88,1.2
(주)STX,011810,2011/12,-17.43,687.46,1.99,183.54,1.35
(주)STX,011810,2012/12,-29.89,659.03,0.54,187.21,1.26
(주)STX,011810,2013/12,-39.71,0,-3.12,0,0.88
(주)STX,011810,2014/12,5.26,-26.57,2.17,1850,1.2
(주)STX,011810,2015/12,-1.41,-3.26,-1.54,1362.39,1.28
(주)STX,011810,2016/12,-75.37,0,-12.55,0,1.74
(주)TCC스틸,002710,2010/12,9.84,1002.41,5.58,92.72,1.43
(주)TCC스틸,002710,2011/12,4.8,1219.71,3.58,98.3,1.28
(주)TCC스틸,002710,2012/12,12.07,1165.86,2.76,109.12,1.04
(주)TCC스틸,002710,2013/12,11.61,1097.38,1.89,111.44,0.95
(주)TCC스틸,002710,2014/12,-10.49,1034.39,2.4,119.57,0.89
(주)TCC스틸,002710,2015/12,24.45,267,3.68,331.91,0.88
(주)TCC스틸,002710,2016/12,7.77,338.92,4.57,170.86,1.09
(주)가비아,079940,2010/12,10.77,267.82,12.37,59.07,0.79
(주)가비아,079940,2011/12,-7.26,300.94,10.82,53.49,0.93
(주)가비아,079940,2012/12,-2.14,385.88,6.62,66.2,0.86
(주)가비아,079940,2013/12,-2.36,440.73,5.84,49.76,0.78
(주)가비아,079940,2014/12,3.13,481.87,6.38,46.76,0.81
(주)가비아,079940,2015/12,13.44,545.74,7.98,35.76,0.85
(주)가비아,079940,2016/12,3.25,589.23,6.7,34.68,0.83
(주)가온칩스,399720,2016,,,,,
(주)강스템바이오텍,217730,2016/12,73.22,223.31,-25.18,106.48,0.02
(주)강스템바이오텍,217730,2015/12,63.77,207.4,-31.88,17.64,0.09
(주)강원랜드,035250,2011/12,24.8,2185.69,18.79,19.84,0.47
(주)강원랜드,035250,2010/12,23.46,2000.43,22.87,24.21,0.53
(주)강원랜드,035250,2013/12,14.96,2422.22,13.24,23.04,0.45
(주)강원랜드,035250,2014/12,21.59,2601.91,16.23,24.46,0.46
(주)강원랜드,035250,2015/12,29.1,2864.85,17.09,23.04,0.46
(주)강원랜드,035250,2016/12,27.2,3103.51,16.31,22.23,0.44
(주)강원랜드,035250,2012/12,20.6,2290.6,14.76,22.33,0.46
(주)강원에너지,114190,2011/11,36.69,860.21,15.46,115.5,1.23
