회사명,거래소코드,회계년도,순운전자본비율,유보율,총자본영업이익률,부채비율,총자본회전률
(주)CMG제약,058820,2021/12,56.11,165.97,0.84,7.84,0.35
(주)ES큐브,050120,2021/12,2.08,-4.03,2.96,16.65,0.52
(주)가비아,079940,2021/12,-1.32,855.57,7.4,68.64,0.7
(주)가온칩스,399720,2021/12,43.54,363.75,19.84,69.21,1.03
(주)강스템바이오텍,217730,2021/12,61.77,269.1,-27.48,28.57,0.05
(주)강원에너지,114190,2021/12,47.51,118.91,5.14,45.27,1.19
(주)고려시멘트,198440,2021/12,25.21,3563.26,2.82,25.29,0.5
(주)고바이오랩,348150,2021/12,87.95,869.75,-14.17,14.71,0.04
(주)고영테크놀러지,098460,2021/12,64.25,4265.73,13.07,28.49,0.69
(주)골드앤에스,035290,2021/12,34.81,-15.71,5.8,71.26,0.58
(주)골드퍼시픽,038530,2021/12,46.3,52.91,-6.02,38.75,0.11
(주)골프존,215000,2021/12,18.73,9106.43,26.34,56.99,1.03
(주)골프존뉴딘홀딩스,121440,2021/12,-5.05,2698.17,9.46,17.57,0.13
(주)공구우먼,366030,2021/12,46.29,10667.84,37.19,16.34,1.7
(주)광림,014200,2021/12,3.79,443.05,5.57,33.59,0.54
(주)광무,029480,2021/12,23.54,345.78,-0.52,96.54,0.27
(주)구영테크,053270,2021/12,-1.92,391.8,2.06,143.58,0.67
(주)국보디자인,066620,2021/12,-0.29,5728.83,7.81,55.4,1.03
(주)국순당,043650,2021/12,21.86,2505.56,3.55,9.04,0.26
(주)국영지앤엠,006050,2021/12,17.35,169.12,-9.89,43.61,0.81
(주)국전약품,307750,2021/12,51.47,1594.58,7.45,28.67,1.04
(주)그래디언트,035080,2021/12,7.18,722.16,1.81,82.51,0.03
(주)그리티,204020,2021/12,54.9,517.15,-8.7,14.5,1.33
(주)그린플러스,186230,2021/12,39.63,941.52,7.14,44.66,0.95
(주)글로벌스탠다드테크놀로지,083450,2021/12,43.9,2753.55,26.27,37.24,1.95
