회사명,거래소코드,회계년도,유형자산(*)(연결)(천원),무형자산(*)(연결)(천원),*당기순이익(천원),제품매출액(*)(천원),영업이익(손실)(연결)(천원),보통주자본금(연결)(천원),우선주자본금(연결)(천원),매출액(영업수익)(*)(연결)(천원),자산(*)(연결)(천원)
(주)CMG제약,058820,2010/06,,,-4215576,4746355,,,,,
(주)CMG제약,058820,2011/06,,,547717,0,,,,,
(주)CMG제약,058820,2012/06,,,-2656509,10787579,,,,,
(주)CMG제약,058820,2013/06,10448318,163868,490646,15223925,684132,33012770,0,10459871,57526136
(주)CMG제약,058820,2014/06,17388609,8358150,482616,16113189,323302,43313433,0,11041662,57460936
(주)CMG제약,058820,2015/06,18086092,12064172,-514625,11759100,-490255,43313433,0,12564650,57043900
(주)CMG제약,058820,2016/06,17137844,13252183,536206,14098107,443421,44353622,0,15835051,57495301
(주)ES큐브,050120,2010/06,,,745512,0,,,,,
(주)ES큐브,050120,2011/06,,,-1580866,0,,,,,
(주)ES큐브,050120,2012/06,,,3302714,0,,,,,
(주)ES큐브,050120,2013/06,2824341,18476036,1386630,0,2678246,18246663,0,35729633,65496598
(주)ES큐브,050120,2014/06,2041710,3478912,504458,0,891524,18246663,0,29159203,46852259
(주)ES큐브,050120,2015/06,2093962,5265526,2483746,0,740155,18246663,0,23265906,60958270
(주)ES큐브,050120,2016/06,1548108,103812,17100693,0,1713333,20810764,0,22812838,74257130
(주)가비아,079940,2010/06,,,1902985,0,,,,,
(주)가비아,079940,2011/06,,,1964745,0,,,,,
(주)가비아,079940,2012/06,41344016,4928942,1513298,0,3505272,6667842,0,31046267,78756988
(주)가비아,079940,2013/06,37189717,5999982,3300054,0,3491025,6667842,0,35002551,89209249
(주)가비아,079940,2014/06,37143376,8999321,1463272,0,4621333,6767842,0,39899621,96154221
(주)가비아,079940,2015/06,37098831,10401194,2341550,0,4907871,6767842,0,44937413,100460561
(주)가비아,079940,2016/06,43594887,14265452,1876498,0,6383409,6767842,0,47783551,116027683
(주)가온칩스,399720,2016,,,,,,,,,
(주)강스템바이오텍,217730,2016/06,,,-4487951,519346,,,,,
(주)강스템바이오텍,217730,2015/06,,,-2792388,308275,,,,,
(주)강원에너지,114190,2011/05,,,1223296,16504252,,,,,
(주)강원에너지,114190,2013/06,,,3626075,30665296,,,,,
(주)강원에너지,114190,2010/05,,,480568,15304663,,,,,
(주)강원에너지,114190,2015/06,,,-345640,21157583,,,,,
(주)강원에너지,114190,2016/06,14275184,1467901,-578509,24653257,67541,7626515,0,23173109,74974837
(주)강원에너지,114190,2014/06,,,2181109,24073605,,,,,
(주)고려시멘트,198440,2015/06,,,,,,,,,
(주)고려시멘트,198440,2016/06,,,,,,,,,
(주)고바이오랩,348150,2016,,,,,,,,,
(주)고영테크놀러지,098460,2012/06,,,9734365,47773501,,,,,
(주)고영테크놀러지,098460,2013/06,15233918,6613996,8798553,50110000,8010336,4477817,0,54344232,116641218
(주)고영테크놀러지,098460,2014/06,19721369,7032675,9669472,0,14556712,6718226,0,70474270,132319429
(주)고영테크놀러지,098460,2015/06,19965106,7152947,11251028,0,12673870,6793726,0,69332567,151266999
(주)고영테크놀러지,098460,2016/06,19294925,6853336,12522125,0,15628141,6827976,0,83838476,176393081
(주)고영테크놀러지,098460,2011/06,,,8100890,0,,,,,
(주)고영테크놀러지,098460,2010/06,,,7038835,31228869,,,,,
(주)골드앤에스,035290,2012/06,,,-907944,8023998,,,,,
(주)골드앤에스,035290,2011/06,,,865469,8503277,,,,,
(주)골드앤에스,035290,2014/06,23251833,9046460,-3486407,7238560,-1458711,5117097,0,17145191,48216124
(주)골드앤에스,035290,2015/06,22436408,3964711,-1552698,4727508,-970512,8392493,0,11158133,44517169
(주)골드앤에스,035290,2013/06,18544759,19259087,-1992766,8115448,-1420387,35819682,0,21901982,61937978
(주)골드앤에스,035290,2016/06,251819,2736335,543274,4701904,179187,9852021,0,8686334,20054210
(주)골드앤에스,035290,2010/06,,,223598,9100652,,,,,
(주)골드퍼시픽,038530,2011/06,,,879505,5856688,,,,,
(주)골드퍼시픽,038530,2013/06,,,-1925629,1255943,,,,,
(주)골드퍼시픽,038530,2014/06,11078760,6731364,-3481017,1482171,-3562984,13190542,0,8093496,41406341
(주)골드퍼시픽,038530,2010/06,,,238290,4954472,,,,,
(주)골드퍼시픽,038530,2016/06,,,-2835829,7373081,,,,,
(주)골드퍼시픽,038530,2015/06,5182016,9013871,-5724708,0,-4122782,23318675,0,12562037,38179949
(주)골드퍼시픽,038530,2012/06,,,1228951,6689491,,,,,
(주)골프존,215000,2016/06,76873703,6064426,18081170,83044545,27102301,3137708,0,108060134,172552267
(주)골프존,215000,2015/06,78828343,7071263,15324719,38673678,20788956,3137708,0,85015578,158418244
(주)골프존뉴딘홀딩스,121440,2012/06,,,43209232,79883952,,,,,
(주)골프존뉴딘홀딩스,121440,2013/06,192842209,24660215,27166380,83955042,44331577,6141512,0,182675448,586995682
(주)골프존뉴딘홀딩스,121440,2011/06,,,27956408,77347127,,,,,
(주)골프존뉴딘홀딩스,121440,2016/06,401630822,8239374,2766052,0,3788904,21418409,0,101227937,750565741
(주)골프존뉴딘홀딩스,121440,2015/06,404751993,8814266,892330763,173822,-12617358,21418409,0,72747684,775910818
(주)골프존뉴딘홀딩스,121440,2014/06,399255834,19705618,41635040,99304234,66581309,18424535,0,228116649,726373925
(주)공구우먼,366030,2016,,,,,,,,,
(주)광림,014200,2013/06,,,1191670,41796064,,,,,
(주)광림,014200,2014/06,54749544,15229288,101353,38381469,1105068,19119243,0,109907707,229918871
(주)광림,014200,2015/06,57408275,19633780,1673510,38612719,-111392,19119243,0,110318983,258187285
(주)광림,014200,2016/06,,,515147,34650316,,,,,
(주)광림,014200,2012/06,,,1388605,38150000,,,,,
(주)광림,014200,2011/06,,,2211820,44248000,,,,,
(주)광림,014200,2010/06,,,635661,27482188,,,,,
(주)광무,029480,2013/06,11930875,815590,-6075550,877217,-5180902,7248956,0,10352616,48247022
(주)광무,029480,2012/06,,,-5027619,5263345,,,,,
(주)광무,029480,2015/06,,,-2302428,2213461,,,,,
(주)광무,029480,2016/06,,,365024,7550790,,,,,
(주)광무,029480,2014/06,,,384909,14562807,,,,,
(주)광무,029480,2011/06,,,-904394,4103104,,,,,
(주)광무,029480,2010/06,,,-4045257,32205646,,,,,
(주)구영테크,053270,2013/06,86883877,415721,940493,35024938,4081523,6429938,0,89329301,167469835
(주)구영테크,053270,2012/06,,,1207168,30822903,,,,,
(주)구영테크,053270,2015/06,86041162,413655,771306,0,2201766,9897087,0,85410385,161012809
(주)구영테크,053270,2016/06,92444619,403254,1736006,35395219,3153806,9897087,0,77390321,170720998
(주)구영테크,053270,2011/06,,,1597306,0,,,,,
(주)구영테크,053270,2014/06,81769918,412792,305635,35319972,2850090,9897087,0,84929544,156944492
(주)구영테크,053270,2010/06,,,2686533,25917607,,,,,
(주)국보디자인,066620,2010/06,,,2894441,0,,,,,
(주)국보디자인,066620,2013/06,2219667,1912733,3753371,0,3459543,3750000,0,76535216,105801290
(주)국보디자인,066620,2014/06,2221847,1914236,5161634,0,9102646,3750000,0,86848542,129013994
(주)국보디자인,066620,2016/06,7186944,2044936,3167549,0,6557667,3750000,0,81832320,139450286
(주)국보디자인,066620,2011/06,,,3977585,0,,,,,
(주)국보디자인,066620,2015/06,6338091,1969636,2712973,0,3532290,3750000,0,83653400,130072716
(주)국보디자인,066620,2012/06,,,4064048,0,,,,,
